,CHN_pro,USA_pro,IND_pro,ROW_pro,IDN_pro,CHN_con,USA_con,IND_con,JPN_con,IDN_con
-86.0,6.277258300983452e-10,2.451898326909324e-06,4.664994876082794e-07,0.002031382700963379,3.115729528524958e-06,0.0005832760928745729,0.0003808950602282123,7.580186370986901e-05,0.0002842082338573018,4.481667386192688e-05
-82.0,6.4277734143767815e-09,7.673113204074154e-06,2.4932629765294484e-06,0.0048081509286349335,1.2800561914628833e-05,0.0013956775804161601,0.0009175874321931108,0.00018639502093049782,0.0006806244807516489,0.00011234311870473413
-78.0,3.7757795891774475e-08,1.723315467728042e-05,8.930745111896189e-06,0.009119528703170586,3.7313506054723516e-05,0.0026489421163190547,0.0017286930096988419,0.0003633415770956203,0.0012893009394925683,0.00022647395592164467
-74.0,1.621695308236227e-07,3.4167150296655e-05,2.4109045956208066e-05,0.016180931026474405,8.744133212314624e-05,0.004664210568215442,0.002995778156956812,0.0006481537564931615,0.0022564252498104543,0.0004226880910934926
-70.0,6.055487901043026e-07,6.638654370827579e-05,6.170897565597711e-05,0.03450874730264921,0.00019656277183782188,0.009597055194747925,0.005933755973734852,0.0013030400461770976,0.004572634522084265,0.0008944543381642771
-66.0,1.988137969547285e-06,0.00012458862505241919,0.00015154972012763844,0.0647264517173438,0.00041953041871004476,0.017826109142414136,0.010863927573821501,0.002450740296554297,0.008426800295468868,0.0017180533140779776
-62.0,4.157344944286596e-06,0.00020401441634502546,0.00025956898949594883,0.08763033957489968,0.0006239364317737827,0.024450644692651635,0.015284949498503238,0.003456754394638571,0.011539164938565266,0.002395065441697727
-58.0,6.660613137626661e-06,0.0002851240253163753,0.00035391039998523333,0.10866004340505998,0.0007791526893659881,0.030693741817453917,0.01962403362909612,0.004393793341364345,0.014466451565542186,0.0030091316452756666
-54.0,1.0633885839525588e-05,0.00035989425602685015,0.0004860574892807888,0.1434397065777581,0.0010292045841540196,0.04064801956908939,0.026181273666716756,0.005812383614411527,0.019110854103563234,0.0040108031432319405
-50.0,1.6796046291398015e-05,0.0004308334062706775,0.0006721466216607774,0.194055900372318,0.0014067532790295277,0.05485716368829781,0.033892655741733384,0.007816343111193667,0.025509719683855542,0.005479415432777099
